Period,Treatment,Player,Color,Partner,LeftLocation,LeftValue,RightLocation,RightValue,RangeTotal,RangeOverlap,Revenue,TotalCost,Profit,GraphLeftX,GraphLeftY,GraphMiddleX,GraphMiddleY,GraphRightX,GraphRightY,BlueCost,RedCost
1,A,1,Blue,2,0,0,0,0,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
1,A,2,Red,1,0,0,0,0,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
2,A,1,Blue,2,0,1,0,1,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
2,A,2,Red,1,0,1,0,1,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
3,A,1,Blue,2,0,1,0,1,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
3,A,2,Red,1,0,1,0,1,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
4,A,1,Blue,2,0,1,1.99,0.75125,1.99,0,1.742494,0.158404,1.58409,-8,0,0,1,8,0,0.08,0.03,
4,A,2,Red,1,0,1,0,1,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
5,A,1,Blue,2,0,1,1.99,0.75125,1.99,0,1.742494,0.158404,1.58409,-8,0,0,1,8,0,0.08,0.03,
5,A,2,Red,1,0,1,0,1,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
6,B,1,Blue,2,-0.89,0,1.29,0,2.18,1.29,0.6659906,0.023762,0.6422286,-4,0,0,0.5,4,0,0.01,0.01,
6,B,2,Red,1,0,0,1.31,0,1.31,1.29,0.2772469,0.008580499,0.2686664,-4,0,0,0.5,4,0,0.01,0.01,
7,B,1,Blue,2,-0.89,0.38875,1.29,0.33875,2.18,1.29,0.6659906,0.023762,0.6422286,-4,0,0,0.5,4,0,0.01,0.01,
7,B,2,Red,1,0,0.5,1.31,0.33625,1.31,1.29,0.2772469,0.008580499,0.2686664,-4,0,0,0.5,4,0,0.01,0.01,
